	NaNO3 (control)		Carboxymethyl Cellulose		Tannic Acid		Humic Acid	
Total Pb(NO3)2 (mL)	pPb	pH	pPb	pH	pPb	pH	pPb	pH
0.5	4.448436381	4.76	6.11	4.74	5.47	4.03	5.83566749	5.01
1	4.266743588	4.67	5.68	4.48	5.08	3.83	5.12613724	4.69
1.5	4.277353386	4.60	5.24	4.23	4.92	3.72	4.16992918	4.34
2	4.185843877	4.52	5.05	3.96	4.85	3.64	3.87418106	4.01
2.5	4.114227739	4.46	4.75	3.81	4.79	3.59	3.71105541	3.83
3	4.041285377	4.41	4.63	3.73	4.81	3.55	3.54925599	3.73
3.5	4.018739556	4.36	4.48	3.69	4.74	3.51	3.496207	3.66
4	4.002824859	4.31	4.46	3.65	4.71	3.48	3.63413437	3.62
4.5	3.990888836	4.27	4.38	3.62	4.67	3.45	3.56649691	3.59
5	3.976300363	4.24	4.35	3.60	4.66	3.43	3.53864619	3.57
5.5	3.963038116	4.20	4.31	3.58	4.67	3.41	3.49753322	3.55
6	3.947123418	4.17	4.29	3.56	4.66	3.40	3.4590727	3.54
6.5	3.944470969	4.14	4.30	3.54	4.63	3.38	3.45642025	3.52
7	3.927230047	4.12	4.28	3.52	4.67	3.37	3.46570383	3.50
7.5	3.916620249	4.09	4.27	3.51	4.63	3.35	3.45111536	3.49
8	3.903358001	4.07	4.28	3.49	4.61	3.34	3.53334129	3.48
8.5	3.894074428	4.05	4.25	3.48	4.59	3.32	3.52273149	3.47
9	3.906010451	4.02	4.24	3.47	4.57	3.31	3.51477414	3.46
9.5	3.886117079	4.00	4.21	3.46	4.55	3.30	3.51212169	3.45
10	3.874181056	3.98	4.20	3.46	4.54	3.29	3.50018567	3.44
								
Total Pb(NO3)2 (mL)	Standard Deviation							
0.5	0.139594213	0.03	0.021053166	0.06429100507	0.244658817	0.02645751311	0.609382287	0.04163331999
1	0.113118499	0.01527525232	0.142141353	0.0692820323	0.220771615	0.01154700538	0.342936772	0.04041451884
1.5	0.149080878	0.01	0.098854912	0.08144527815	0.17596359	0.005773502692	0.305313662	0.02886751346
2	0.117219065	0.005773502692	0.342866938	0.07505553499	0.133290538	0.01	0.156653636	0.02645751311
2.5	0.099466858	0.005773502692	0.258980832	0.07371114796	0.119713367	0.01	0.172533143	0.01154700538
3	0.094348566	0.005773502692	0.263204667	0.07371114796	0.088460286	0.005773502692	0.013075842	0.02081665999
3.5	0.093562314	0.01	0.143802155	0.06806859286	0.134747308	0.005773502692	0.030534714	0.02309401077
4	0.090378107	0.01	0.071616138	0.06658328118	0.100101421	0.01	0.309339602	0.01527525232
4.5	0.043035943	0.005773502692	0.076220435	0.06658328118	0.107276747	0.005773502692	0.288907094	0.01527525232
5	0.018376709	0.005773502692	0.065658172	0.06658328118	0.080463708	0.005773502692	0.269043509	0.01
5.5	0.024201331	0.005773502692	0.073686079	0.06658328118	0.028782439	0.005773502692	0.270445318	0.01154700538
6	0.028690628	0.01154700538	0.071431702	0.06	0.02398231	0.01	0.272615628	0.01527525232
6.5	0.039050508	0.01154700538	0.111284405	0.06506407099	0.004594177	0.01	0.23658331	0.02081665999
7	0.043035943	0.005773502692	0.11579241	0.05507570547	0.071652968	0.01	0.257846408	0.03055050463
7.5	0.034761259	0.01	0.097484287	0.05	0.069180135	0.01	0.258302506	0.04041451884
8	0.040379134	0.005773502692	0.076151175	0.04509249753	0.068490233	0.01	0.190103522	0.04582575695
8.5	0.052532565	0.005773502692	0.079871329	0.04509249753	0.064030703	0.01154700538	0.188208144	0.05131601439
9	0.036968144	0.01	0.065133706	0.04163331999	0.060208267	0.01154700538	0.177671441	0.05131601439
9.5	0.042542678	0.01154700538	0.066456963	0.04163331999	0.052179824	0.01154700538	0.175950281	0.05291502622
10	0.039050508	0.01154700538	0.064318483	0.04041451884	0.053724382	0.01154700538	0.176529949	0.05686240703
								
	# functional groups							
CBMC	1427mmol/kg							
Tannic acid	2516mmol/kg							
Humic acid	822mmol/kg							
								
	Complexation Constants							
Total Pb(NO3)2 (mL)	CBMC	Tannic Acid	Humic Acid					
0.5	0.27918506	0.18266504	0.13941303					
1	0.38390736	0.2374761	0.11564613					
1.5	0.37725029	0.32087524	0.03882848					
2	0.61521128	0.44314486	0.05288073					
2.5	0.55151627	0.54756936	0.06734469					
3	0.6142396	0.76446838	0.06674508					
3.5	0.56502159	0.84107441	0.08426889					
4	0.69093847	0.97217837	0.17428357					
4.5	0.70587434	1.0806392	0.18369421					
5	0.783003	1.24313573	0.2095619					
5.5	0.84005545	1.48307098	0.22726084					
6	0.93715552	1.63688828	0.24045419					
6.5	1.11443922	1.75269942	0.28751221					
7	1.22815924	2.14484013	0.3538127					
7.5	1.34776609	2.21968184	0.39488626					
8	1.57984681	2.34122004	0.57956679					
8.5	1.64202866	2.51733828	0.65104525					
9	1.78341716	2.63624751	0.73596686					
9.5	1.84354276	2.75259031	0.8442577					
10	1.94761804	2.93373677	0.94395693					