0.01M NaOH added (burette reading) (mL)	0.01M NaOH added (mL)	pH								0.01M NaOH added (burette reading) (mL)	0.01M NaOH added (mL)	pH								0.01M NaOH added (burette reading) (mL)	0.01M NaOH added (mL)	pH		
5	0	3.01								0	0	2.97								24.9	0	3		
10	5	3.1								0.5	0.5	3.03								25.1	0.2	3.07		
15	10	3.17								1	1	3.09								25.2	0.3	3.1		
20	15	3.24								2	2	3.21								25.4	0.5	3.17		
25	20	3.31								4	4	3.4								26	1.1	3.4		
30	25	3.38								7	7	3.69								26.5	1.6	3.59		
35	30	3.45								10	10	3.91								27	2.1	3.79		
40	35	3.51								13	13	4.1								27.5	2.6	3.97		
45	40	3.57								17	17	4.32								28	3.1	4.12		
50	45	3.7								21	21	4.55								28.5	3.6	4.26		
5	50	3.77								25	25	4.81								29	4.1	4.41		
10	55	3.84								29	29	5.09								29.5	4.6	4.54		
15	60	3.9								33	33	5.39								30.1	5.2	4.67		
20	65	3.97								37	37	5.65								30.5	5.6	4.75		
25	70	4.04		# functional groups = 1427mmol/kg						41	41	5.87		# functional groups = 2516mmol/kg						31	6.1	4.85		# functional groups = 822mmol/kg
30	75	4.11		calculation in lab notebook						45	45	6.06		calculation in lab notebook						31.5	6.6	4.92		calculation in lab notebook
35	80	4.19								50	50	6.36								32	7.1	4.92		
40	85	4.26								4	54	6.62		Tannic acid 						32.5	7.6	4.99		Humic (Aldrich)
45	90	4.34		Carboxymethylcellulose 						8	58	6.74								33	8.1	5.06		
50	95	4.5								12	62	6.86								33.6	8.7	5.13		
5.8	100	4.59								16	66	6.94								34	9.1	5.16		
10.8	105	4.68								20	70	7.02								34.5	9.6	5.18		
15.8	110	4.79								24	74	7.08								10.5	10	5.21		
20.8	115	4.9								28	78	7.16								11	10.5	5.22		
25.8	120	5.03								32	82	7.22								11.5	11	5.26		
30.8	125	5.18								36	86	7.29								12	11.5	5.29		
36.8	131	5.39								40	90	7.36								12.5	12	5.31		
41.8	136	5.61								44	94	7.42								13	12.5	5.33		
46.8	141	5.91								47	97	7.46								14	13.5	5.36		
47.3	141.5	5.95								50	100	7.57								15	14.5	5.38		
47.8	142	5.99								4	104	7.62								17	16.5	5.45		
48.3	142.5	6.04								8	108	7.66								19	18.5	5.52		
48.8	143	6.08								12	112	7.72								22	21.5	5.54		
49.3	143.5	6.12								16	116	7.76								25	24.5	5.65		
49.8	144	6.18								20	120	7.8								28.2	27.7	5.77		
50	144.2	6.82								24	124	7.86								31	30.5	5.87		
0.5	144.7	7.02								28	128	7.9								34	33.5	5.97		
1	145.2	7.18								32	132	7.95								11	34.9	6		
1.5	145.7	7.51								36	136	7.99								14	37.9	6.15		
2	146.2	7.9								40	140	8.04								17	40.9	6.31		
2.5	146.7	8.53								44	144	8.1								20	43.9	6.49		
3	147.2	8.99								47	147	8.12								23	46.9	6.66		
3.5	147.7	9.23								50	150	8.19								26	49.9	6.84		
										4	154	8.22								29	52.9	7.03		
										8	158	8.27								32	55.9	7.22		
										12	162	8.32								35	58.9	7.42		
										16	166	8.33								38	61.9	7.61		
										20	170	8.37								41	64.9	7.8		
										24	174	8.41								44	67.9	7.97		
										29	179	8.45								47	70.9	8.01		
										34	184	8.53								38	73.5	8.18		
										39	189	8.53								41	76.5	8.38		
										44	194	8.6								32	79.2	8.53		
										50	200	8.65								35	82.2	8.73		
										4	204	8.69								38	85.2	8.94		
										8	208	8.72								40	87.2	9.01		
										12	212	8.73												
										16	216	8.78												
										20	220	8.78												
										24	224	8.82												
										28	228	8.83												
										32	232	8.87												
										36	236	8.87												
										40	240	8.9												
										44	244	8.92												
										47	247	8.94												
										50	250	8.98												
										47	253.6	8.99												
										50	256.6	9.03												