pPb	Trial 1 (mV)	Trial 2 (mV)	Trial 3 (mV)	Average	Standard Deviation
7.88	-146.2	-147.3	-144.5	-146	1.410673598
6.6	-128.2	-130.2	-129.5	-129.3	1.014889157
5.19	-79.5	-80.7	-81.2	-80.46666667	0.8736894948
4.64	-66.7	-71.5	-71.5	-69.9	2.771281292
4.04	-53.2	-55.7	-54.1	-54.33333333	1.266227994
					
					
					
(y-46.507)/-25.134 = x					
					
					
					
					
					
					
					
					
					
					
					
pPb	Trial 1 (mV)	Trial 2 (mV)		Average (mV)	
7.88	-61.3	-71.7		-66.5	
6.6	-116	-109.3		-112.65	
5.19	-66.5	-65.7		-66.1	
4.64	-54.6	-51.6		-53.1	
4.04	-33.4	-30.8		-32.1	
					
(y-93.365)/-31.139 = x					
					
					
					
					
					
					
pPb	Voltage (mV)				
6.6	-88.7				
5.19	-48.7				
4.64	-36.6				
4.04	-16.1				
					
(y-95.232)/-27.896=x					