0.01M NaNO3																		
Solution 1					Solution 2					Solution 3					Average			
Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)	Standard Deviation
0.5	4.333054826	-62.4			0.5	4.408649638	-64.3			0.5	4.603604679	-69.2			0.5	4.448436381	-65.3	0.1395942134
1	4.173907854	-58.4			1	4.233587968	-59.9			1	4.392734941	-63.9			1	4.266743588	-60.73333333	0.1131184989
1.5	4.110249065	-56.8			1.5	4.396713615	-64			1.5	4.325097478	-62.2			1.5	4.277353386	-61	0.1490808785
2	4.058526299	-55.5			2	4.289289409	-61.3			2	4.209715923	-59.3			2	4.185843877	-58.7	0.1172190647
2.5	4.014760882	-54.4			2.5	4.213694597	-59.4			2.5	4.114227739	-56.9			2.5	4.114227739	-56.9	0.09946685764
3	3.963038116	-53.1			3	4.146057134	-57.7			3	4.014760882	-54.4			3	4.041285377	-55.06666667	0.09434856588
3.5	3.927230047	-52.2			3.5	4.114227739	-56.9			3.5	4.014760882	-54.4			3.5	4.018739556	-54.5	0.09356231413
4	3.899379327	-51.5			4	4.066483648	-55.7			4	4.042611602	-55.1			4	4.002824859	-54.1	0.09037810688
4.5	3.978952813	-53.5			4.5	4.038632928	-55			4.5	3.955080767	-52.9			4.5	3.990888836	-53.8	0.04303594265
5	3.955080767	-52.9			5	3.986910162	-53.7			5	3.986910162	-53.7			5	3.976300363	-53.43333333	0.01837670945
5.5	3.935187396	-52.4			5.5	3.978952813	-53.5			5.5	3.974974139	-53.4			5.5	3.963038116	-53.1	0.02420133099
6	3.915294024	-51.9			6	3.955080767	-52.9			6	3.970995464	-53.3			6	3.947123418	-52.7	0.02869062844
6.5	3.899379327	-51.5			6.5	3.96701679	-53.2			6.5	3.96701679	-53.2			6.5	3.944470969	-52.63333333	0.03905050758
7	3.879485955	-51			7	3.93916607	-52.5			7	3.963038116	-53.1			7	3.927230047	-52.2	0.04303594265
7.5	3.887443304	-51.2			7.5	3.907336675	-51.7			7.5	3.955080767	-52.9			7.5	3.916620249	-51.93333333	0.03476125944
8	3.867549932	-50.7			8	3.895400653	-51.4			8	3.947123418	-52.7			8	3.903358001	-51.6	0.0403791341
8.5	3.847656561	-50.2			8.5	3.88346463	-51.1			8.5	3.951102093	-52.8			8.5	3.894074428	-51.36666667	0.05253256497
9	3.895400653	-51.4			9	3.875507281	-50.9			9	3.947123418	-52.7			9	3.906010451	-51.66666667	0.03696814372
9.5	3.863571258	-50.6			9.5	3.859592584	-50.5			9.5	3.935187396	-52.4			9.5	3.886117079	-51.16666667	0.04254267773
10	3.851635235	-50.3			10	3.851635235	-50.3			10	3.919272698	-52			10	3.874181056	-50.86666667	0.03905050758
																		
0.1% carboxymethyl cellulose (CBMC)																		
Solution 1					Solution 2					Solution 3					Average			
Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)	Standard Deviation
0.5	6.107543566	-107			0.5	6.139372961	-107.8			0.5	6.099586218	-106.8			0.5	6.115500915	-107.2	0.02105316552
1	5.836993714	-100.2			1	5.626123975	-94.9			1	5.566443861	-93.4			1	5.676520517	-96.16666667	0.142141353
1.5	5.3436381	-87.8			1.5	5.16857643	-83.4			1.5	5.176533779	-83.6			1.5	5.22958277	-84.93333333	0.09885491183
2	5.431168935	-90			2	4.782645023	-73.7			2	4.913941275	-77			2	5.042585077	-80.23333333	0.3428669378
2.5	5.001472109	-79.2			2.5	4.48424445	-66.2			2.5	4.718986234	-72.1			2.5	4.734900931	-72.5	0.2589808317
3	4.913941275	-77			3	4.404670964	-64.2			3	4.543924564	-67.7			3	4.620845601	-69.63333333	0.2632046672
3.5	4.631455399	-69.9			3.5	4.364884221	-63.2			3.5	4.404670964	-64.2			3.5	4.467003528	-65.76666667	0.1438021548
4	4.516073844	-67			4	4.372841569	-63.4			4	4.444457707	-65.2			4	4.444457707	-65.2	0.0716161375
4.5	4.45639373	-65.5			4.5	4.333054826	-62.4			4.5	4.317140129	-62			4.5	4.368862895	-63.3	0.07622043471
5	4.404670964	-64.2			5	4.313161455	-61.9			5	4.277353386	-61			5	4.331728601	-62.36666667	0.06565817243
5.5	4.364884221	-63.2			5.5	4.285310734	-61.2			5.5	4.217673271	-59.5			5.5	4.289289409	-61.3	0.07368607932
6	4.352948198	-62.9			6	4.245523991	-60.2			6	4.217673271	-59.5			6	4.272048487	-60.86666667	0.07143170213
6.5	4.412628312	-64.4			6.5	4.245523991	-60.2			6.5	4.201758574	-59.1			6.5	4.286636959	-61.23333333	0.1112844046
7	4.396713615	-64			7	4.221651946	-59.6			7	4.177886528	-58.5			7	4.265417363	-60.7	0.1157924104
7.5	4.352948198	-62.9			7.5	4.25348134	-60.4			7.5	4.157993157	-58			7.5	4.254807565	-60.43333333	0.09748428671
8	4.344990849	-62.7			8	4.237566643	-60			8	4.1977799	-59			8	4.260112464	-60.56666667	0.07615117488
8.5	4.313161455	-61.9			8.5	4.221651946	-59.6			8.5	4.154014482	-57.9			8.5	4.229609294	-59.8	0.07987132927
9	4.293268083	-61.4			9	4.205737248	-59.2			9	4.165950505	-58.2			9	4.221651946	-59.6	0.06513370551
9.5	4.265417363	-60.7			9.5	4.181865203	-58.6			9.5	4.134121111	-57.4			9.5	4.193801225	-58.9	0.06645696303
10	4.25348134	-60.4			10	4.173907854	-58.4			10	4.126163762	-57.2			10	4.184517652	-58.66666667	0.06431848308
																		
0.1% tannic acid																		
Solution 1					Solution 2					Solution 3					Average			
Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)	Standard Deviation
0.5	5.303851357	-86.8			0.5	5.749462879	-98			0.5	5.351595448	-88			0.5	5.468303228	-90.93333333	0.2446588166
1	4.890069229	-76.4			1	5.31578738	-87.1			1	5.001472109	-79.2			1	5.069109573	-80.9	0.2207716145
1.5	4.774687674	-73.5			1.5	5.108896316	-81.9			1.5	4.846303812	-75.3			1.5	4.9099626	-76.9	0.1759635903
2	4.754794303	-73			2	4.989536087	-78.9			2	4.762751651	-73.2			2	4.835694013	-75.03333333	0.1332905377
2.5	4.699092862	-71.6			2.5	4.913941275	-77			2.5	4.715007559	-72			2.5	4.776013899	-73.53333333	0.1197133667
3	4.699092862	-71.6			3	4.85426116	-75.5			3	4.850282486	-75.4			3	4.801212169	-74.16666667	0.08846028565
3.5	4.56779661	-68.3			3.5	4.810495743	-74.4			3.5	4.790602371	-73.9			3.5	4.722964908	-72.2	0.1347473082
4	4.583711307	-68.7			4	4.762751651	-73.2			4	4.750815628	-72.9			4	4.699092862	-71.6	0.1001014214
4.5	4.535967216	-67.5			4.5	4.730922257	-72.4			4.5	4.711028885	-71.9			4.5	4.659306119	-70.6	0.1072767467
5	4.551881913	-67.9			5	4.703071537	-71.7			5	4.675220816	-71			5	4.643391422	-70.2	0.08046370819
5.5	4.62349805	-69.7			5.5	4.675220816	-71			5.5	4.671242142	-70.9			5.5	4.65665367	-70.53333333	0.02878243868
6	4.62349805	-69.7			6	4.671242142	-70.9			6	4.643391422	-70.2			6	4.646043872	-70.26666667	0.02398230991
6.5	4.615540702	-69.5			6.5	4.62349805	-69.7			6.5	4.62349805	-69.7			6.5	4.620845601	-69.63333333	0.004594177363
7	4.603604679	-69.2			7	4.734900931	-72.5			7	4.619519376	-69.6			7	4.652674995	-70.43333333	0.07165296761
7.5	4.563817936	-68.2			7.5	4.695114188	-71.5			7.5	4.591668656	-68.9			7.5	4.616866927	-69.53333333	0.06918013504
8	4.53994589	-67.6			8	4.671242142	-70.9			8	4.571775284	-68.4			8	4.594321106	-68.96666667	0.0684902328
8.5	4.520052519	-67.1			8.5	4.643391422	-70.2			8.5	4.551881913	-67.9			8.5	4.571775284	-68.4	0.06403070319
9	4.508116496	-66.8			9	4.62349805	-69.7			9	4.535967216	-67.5			9	4.555860587	-68	0.06020826749
9.5	4.492201798	-66.4			9.5	4.59564733	-69			9.5	4.531988541	-67.4			9.5	4.53994589	-67.6	0.05217982434
10	4.476287101	-66			10	4.583711307	-68.7			10	4.531988541	-67.4			10	4.530662317	-67.36666667	0.05372438158
																		
0.1% humic acid																		
Solution 1					Solution 2					Solution 3					Average			
Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)			Total Pb(NO3)2 (mL)	pPb	Voltage (mV)	Standard Deviation
0.5	6.962958542	-128.5			0.5	6.020012732	-104.8			0.5	5.82277029	-67.2			0.5	5.835667489	-100.1666667	0.6093822875
1	5.86086576	-100.8			1	5.68580409	-96.4			1	5.19902495	-49.8			1	5.126137238	-82.33333333	0.3429367718
1.5	5.311808705	-87			1.5	5.23128764	-50.7			1.5	4.74734729	-37.2			1.5	4.16992918	-58.3	0.3053136621
2	4.9099626	-76.9			2	4.905075997	-41.6			2	4.636220247	-34.1			2	3.874181056	-50.86666667	0.1566536357
2.5	4.850282486	-75.4			2.5	4.646974477	-34.4			2.5	4.507169487	-30.5			2.5	3.71105541	-46.76666667	0.1725331427
3	4.520052519	-67.1			3	4.517923717	-30.8			3	4.496415257	-30.2			3	3.549255988	-42.7	0.01307584156
3.5	4.444457707	-65.2			3.5	4.442644107	-28.7			3.5	4.496415257	-30.2			3.5	3.496206997	-41.36666667	0.03053471444
4	4.396713615	-64			4	4.41396616	-27.9			4	4.94092343	-42.6			4	3.634134373	-44.83333333	0.3093396023
4.5	4.348969523	-62.8			4.5	4.36019501	-26.4			4.5	4.85488959	-40.2			4.5	3.56649691	-43.13333333	0.2889070937
5	4.317140129	-62			5	4.363779753	-26.5			5	4.804703183	-38.8			5	3.53864619	-42.43333333	0.2690435087
5.5	4.285310734	-61.2			5.5	4.31717809	-25.2			5.5	4.76885575	-37.8			5.5	3.497533222	-41.4	0.2704453176
6	4.265417363	-60.7			6	4.26340694	-23.7			6	4.73659306	-36.9			6	3.459072704	-40.43333333	0.2726156278
6.5	4.25348134	-60.4			6.5	4.313593347	-25.1			6.5	4.689991397	-35.6			6.5	3.456420254	-40.36666667	0.2365833098
7	4.245523991	-60.2			7	4.313593347	-25.1			7	4.722254087	-36.5			7	3.465703827	-40.6	0.2578464081
7.5	4.22563062	-59.7			7.5	4.30642386	-24.9			7.5	4.707915113	-36.1			7.5	3.451115355	-40.23333333	0.2583025057
8	4.504137821	-66.7			8	4.302839117	-24.8			8	4.68282191	-35.4			8	3.533341291	-42.3	0.1901035223
8.5	4.48424445	-66.2			8.5	4.299254373	-24.7			8.5	4.675652423	-35.2			8.5	3.522731493	-42.03333333	0.1882081439
9	4.468329753	-65.8			9	4.30642386	-24.9			9	4.66131345	-34.8			9	3.514774144	-41.83333333	0.1776714414
9.5	4.464351078	-65.7			9.5	4.30642386	-24.9			9.5	4.657728707	-34.7			9.5	3.512121694	-41.76666667	0.1759502812
10	4.444457707	-65.2			10	4.299254373	-24.7			10	4.65055922	-34.5			10	3.500185671	-41.46666667	0.1765299488